"n_1"	"mean_1"	"sd_1"	"n_2"	"mean_2"	"sd_2"	"time"	"lower_1"	"upper_1"	"lower_2"	"upper_2"
14	1.07052110826139	0.205065152465026	14	1.09752431623499	0.207423332719478	12	1.01571514094062	1.12532707558215	1.04208809873077	1.15296053373921
13	1.0650521243803	0.204227450094759	13	1.11444820973228	0.221937451554624	15	1.00840962105923	1.12169462770137	1.05289383576874	1.17600258369582
11	1.09167085104096	0.172431475232919	11	1.14023895468253	0.213069971658298	18	1.03968080509596	1.14366089698596	1.07599594103869	1.20448196832637
10	1.08430835735231	0.168652834851996	10	1.15896101084892	0.211590701659834	21	1.03097564815465	1.13764106654996	1.09205015595309	1.22587186574474
9	1.06629749002974	0.17598459459853	9	1.1658321818744	0.22133674136299	24	1.0076359584969	1.12495902156258	1.09205326808674	1.23961109566207
9	1.07407523000955	0.181708315262477	9	1.23346761842071	0.247801856783269	27	1.01350579158872	1.13464466843038	1.15086699949296	1.31606823734847
9	1.07227257621023	0.188958367305454	9	1.26722240384221	0.28760538887313	30	1.00928645377508	1.13525869864538	1.1713539408845	1.36309086679992
9	1.07861450308092	0.19583485308315	9	1.31822639543724	0.333932958244536	33	1.01333621871987	1.14389278744197	1.20691540935573	1.42953738151875
8	1.07525950742731	0.203279905375901	8	1.3134242845326	0.380036229224473	36	1.00338920764218	1.14712980721244	1.179061187142	1.4477873819232
8	1.07246780522265	0.196630316197965	8	1.35333012353093	0.384431860544277	39	1.00294849023743	1.14198712020787	1.21741293578342	1.48924731127844
8	1.05587407784042	0.205135593761306	8	1.33315271566565	0.395153622751762	42	0.983347693134748	1.1284004625461	1.19344481253654	1.47286061879475
6	1.0058466429636	0.191063443923814	6	1.283637162027	0.365488342954157	45	0.927845318611568	1.08384796731564	1.1344271708315	1.43284715322251
4	0.870175652536859	0.0109073489626429	4	1.07726066077738	0.174876927826911	48	0.864721978055537	0.87562932701818	0.989822196863928	1.16469912469084
3	0.842898484632936	0.000688267343630185	3	0.959642318757145	0.156714439064954	51	0.842501113296817	0.843295855969056	0.869163195177093	1.0501214423372
2	0.807061426048261	0	2	0.955066305583759	0	54	0.807061426048261	0.807061426048261	0.955066305583759	0.955066305583759
2	0.810018816111523	0	2	0.957308020727216	0	57	0.810018816111523	0.810018816111523	0.957308020727216	0.957308020727216
2	0.821911553848655	0	2	1.01728446762199	0	60	0.821911553848655	0.821911553848655	1.01728446762199	1.01728446762199
2	0.794619620214871	0	2	0.959897290070757	0	63	0.794619620214871	0.794619620214871	0.959897290070757	0.959897290070757
2	0.763728525719684	0	2	0.895602181593018	0	66	0.763728525719684	0.763728525719684	0.895602181593018	0.895602181593018
2	0.779002254151681	0	2	0.977954239687606	0	69	0.779002254151681	0.779002254151681	0.977954239687606	0.977954239687606
